GCC	67	27.68	22.14	22.20	27.98	0.08	0.00
GCC	68	27.76	22.13	21.98	28.13	0.06	0.00
GCC	69	27.68	22.12	22.00	28.20	0.05	0.00
GCC	70	27.70	22.09	21.96	28.25	0.05	0.00
GCC	71	27.66	22.10	22.02	28.22	0.04	0.00
GCC	72	27.64	22.10	22.08	28.18	0.04	0.00
GCC	73	27.68	22.08	22.05	28.19	0.05	0.00
GCC	74	27.59	22.12	22.09	28.20	0.05	0.00
GCC	75	27.52	22.18	22.25	28.05	0.06	0.00
GCC	76	27.80	22.23	21.37	28.60	0.06	0.00
GCC	77	27.74	22.21	21.43	28.61	0.06	0.00
GCC	78	27.73	22.18	21.55	28.54	0.05	0.00
GCC	79	27.79	22.23	21.45	28.52	0.05	0.00
GCC	80	27.83	22.28	21.50	28.38	0.06	0.00
GCC	81	27.82	22.21	21.50	28.47	0.06	0.00
GCC	82	27.75	22.17	21.66	28.42	0.06	0.00
GCC	83	27.73	22.20	21.62	28.45	0.06	0.00
GCC	84	27.76	22.28	21.61	28.35	0.06	0.00
GCC	85	27.70	22.39	21.55	28.37	0.06	0.00
GCC	86	27.73	22.39	21.55	28.33	0.06	0.00
GCC	87	27.75	22.41	21.55	28.29	0.06	0.00
GCC	88	27.70	22.31	21.51	28.47	0.07	0.00
GCC	89	27.59	22.49	21.49	28.44	0.07	0.00
GCC	90	27.75	22.66	21.26	28.33	0.06	0.00
GCC	91	27.61	22.49	21.43	28.47	0.06	0.00
GCC	92	27.57	22.55	21.42	28.47	0.06	0.00
GCC	93	27.58	22.64	21.40	28.37	0.07	0.00
GCC	94	27.48	22.73	21.37	28.42	0.07	0.00
GCC	95	27.52	22.56	21.47	28.46	0.06	0.00
GCC	96	27.46	22.68	21.47	28.40	0.07	0.00
GCC	97	27.34	22.71	21.34	28.60	0.17	0.00
GCC	98	27.44	22.69	21.24	28.63	0.23	0.00
GCC	99	27.33	22.55	21.71	28.41	1.55	0.00
GCC	100	27.39	22.71	21.47	28.42	0.22	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	31.72	21.62	17.77	28.90
GCT	2	31.59	20.63	18.63	29.15
GCT	3	29.99	20.57	19.73	29.71
GCT	4	29.18	20.79	21.11	28.92
GCT	5	29.55	20.03	21.57	28.85
GCT	6	29.30	21.32	21.85	27.53
GCT	7	29.09	20.58	21.52	28.81
GCT	8	29.08	21.04	21.24	28.64
GCT	9	28.87	21.01	21.26	28.86
GCT	10	29.30	20.91	21.44	28.34
GCT	11	29.15	20.88	21.56	28.40
GCT	12	29.00	20.94	21.45	28.61
GCT	13	28.92	20.82	21.42	28.84
GCT	14	28.93	20.80	21.55	28.72
GCT	15	28.81	21.00	21.52	28.67
GCT	16	28.74	21.04	21.60	28.63
GCT	17	28.55	21.02	21.72	28.72
GCT	18	28.45	21.14	21.75	28.66
GCT	19	28.38	21.23	21.67	28.72
GCT	20	28.32	21.30	21.56	28.82
GCT	21	28.28	21.27	21.73	28.72
GCT	22	28.11	21.45	21.81	28.63
GCT	23	28.18	21.33	21.89	28.61
GCT	24	28.03	21.46	22.06	28.46
GCT	25	28.08	21.37	22.08	28.47
GCT	26	27.95	21.46	22.18	28.40
GCT	27	27.92	21.44	22.26	28.38
GCT	28	27.87	21.57	22.28	28.28
GCT	29	27.93	21.43	22.37	28.27
GCT	30	27.97	21.45	22.39	28.19
GCT	31	27.86	21.45	22.55	28.13
GCT	32	27.79	21.38	22.74	28.09
GCT	33	27.84	21.49	22.77	27.91
GCT	34	28.08	21.43	22.52	27.98
GCT	35	27.97	21.86	22.36	27.81
GCT	36	27.88	21.95	22.36	27.81
GCT	37	27.89	21.95	22.38	27.77
GCT	38	27.88	21.88	22.43	27.81
GCT	39	27.92	21.98	22.43	27.68
GCT	40	27.80	22.00	22.46	27.74
GCT	41	27.91	21.91	22.53	27.66
GCT	42	27.83	22.00	22.52	27.65
GCT	43	27.78	21.92	22.51	27.80
GCT	44	27.71	21.93	22.52	27.84
GCT	45	27.71	21.99	22.57	27.73
GCT	46	27.73	21.95	22.57	27.75
GCT	47	27.69	21.97	22.66	27.68
GCT	48	27.62	22.04	22.60	27.74
GCT	49	27.75	22.02	22.54	27.70
GCT	50	27.82	22.06	22.48	27.65
GCT	51	27.87	21.84	21.92	28.37
GCT	52	27.81	21.85	22.02	28.33
GCT	53	27.82	21.81	21.97	28.40
GCT	54	27.50	22.48	21.87	28.15
GCT	55	27.72	22.37	21.87	28.03
GCT	56	27.65	22.41	21.84	28.10
GCT	57	27.76	22.36	21.83	28.05
GCT	58	27.66	22.46	21.78	28.11
GCT	59	27.70	22.44	21.84	28.02
GCT	60	27.67	22.50	21.83	27.99
GCT	61	27.75	22.44	21.85	27.96
GCT	62	27.82	22.02	21.97	28.20
GCT	63	27.72	21.91	22.06	28.31
GCT	64	27.79	21.93	22.10	28.19
GCT	65	27.82	21.83	22.22	28.13
GCT	66	27.77	21.97	22.30	27.96
GCT	67	27.66	22.14	22.20	28.00
GCT	68	27.75	22.14	21.97	28.14
GCT	69	27.67	22.12	21.99	28.22
GCT	70	27.68	22.09	21.96	28.27
GCT	71	27.65	22.11	22.01	28.22
GCT	72	27.63	22.11	22.07	28.20
GCT	73	27.66	22.09	22.04	28.21
GCT	74	27.58	22.13	22.08	28.21
GCT	75	27.51	22.19	22.24	28.06
GCT	76	27.79	22.25	21.35	28.61
GCT	77	27.73	22.23	21.42	28.63
GCT	78	27.71	22.21	21.52	28.56
GCT	79	27.78	22.26	21.43	28.53
GCT	80	27.82	22.30	21.48	28.40
GCT	81	27.81	22.22	21.49	28.48
GCT	82	27.74	22.18	21.65	28.43
GCT	83	27.71	22.21	21.61	28.47
GCT	84	27.74	22.30	21.59	28.37
GCT	85	27.68	22.41	21.53	28.38
GCT	86	27.71	22.42	21.52	28.35
GCT	87	27.74	22.43	21.53	28.30
GCT	88	27.69	22.33	21.50	28.48
GCT	89	27.57	22.50	21.48	28.45
GCT	90	27.74	22.68	21.24	28.34
GCT	91	27.59	22.50	21.43	28.49
GCT	92	27.56	22.55	21.41	28.48
GCT	93	27.57	22.65	21.39	28.38
GCT	94	27.46	22.75	21.35	28.44
GCT	95	27.49	22.56	21.47	28.48
GCT	96	27.44	22.68	21.46	28.42
GCT	97	27.33	22.73	21.32	28.62
GCT	98	27.42	22.70	21.23	28.65
GCT	99	27.31	22.56	21.71	28.43
GCT	100	27.37	22.72	21.47	28.45
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	32.15	22.41	16.97	28.47	0.34	0.00
FBC	2	31.78	21.39	17.46	29.38	0.00	0.00
FBC	3	30.41	20.97	18.45	30.16	0.00	0.00
FBC	4	29.82	20.84	20.17	29.18	0.00	0.00
FBC	5	29.62	20.00	21.60	28.77	0.02	0.00
FBC	6	29.30	21.30	21.85	27.55	0.00	0.00
FBC	7	29.24	20.62	21.39	28.75	0.00	0.00
FBC	8	29.26	21.04	21.06	28.64	0.00	0.00
FBC	9	29.10	21.03	21.10	28.76	0.00	0.00
FBC	10	29.40	21.05	21.29	28.26	0.01	0.00
FBC	11	29.33	20.92	21.35	28.39	0.02	0.00
FBC	12	29.15	20.96	21.35	28.54	0.01	0.00
FBC	13	29.04	20.87	21.38	28.72	0.00	0.00
FBC	14	29.00	20.98	21.46	28.56	0.00	0.00
FBC	15	28.83	21.07	21.53	28.56	0.00	0.00
FBC	16	28.61	21.15	21.64	28.60	0.00	0.00
FBC	17	28.62	21.12	21.71	28.55	0.00	0.00
FBC	18	28.40	21.32	21.79	28.48	0.00	0.00
FBC	19	28.44	21.44	21.53	28.60	0.00	0.00
FBC	20	28.28	21.61	21.41	28.70	0.01	0.00
FBC	21	28.34	21.39	21.64	28.63	0.01	0.00
FBC	22	27.99	21.77	21.79	28.45	0.01	0.00
FBC	23	28.10	21.53	21.95	28.42	0.01	0.00
FBC	24	27.79	21.82	22.13	28.26	0.08	0.00
FBC	25	27.97	21.68	22.15	28.20	0.05	0.00
FBC	26	27.86	21.83	22.23	28.09	0.18	0.00
FBC	27	27.91	21.58	22.34	28.17	0.01	0.00
FBC	28	27.80	21.84	22.38	27.97	0.02	0.00
FBC	29	27.98	21.58	22.45	27.98	0.02	0.00
FBC	30	27.82	21.74	22.56	27.87	0.02	0.00
FBC	31	27.77	21.66	22.76	27.81	0.02	0.00
FBC	32	27.67	21.61	22.98	27.74	0.02	0.00
FBC	33	27.78	21.60	23.02	27.60	0.02	0.00
FBC	34	27.91	21.62	22.77	27.70	0.03	0.00
FBC	35	27.96	21.67	22.71	27.67	0.03	0.00
FBC	36	27.72	21.86	22.70	27.73	0.03	0.00
FBC	37	27.76	21.74	22.77	27.73	0.03	0.00
FBC	38	27.67	21.76	22.80	27.77	0.03	0.00
FBC	39	27.82	21.80	22.82	27.56	0.03	0.00
FBC	40	27.53	21.95	22.80	27.73	0.03	0.00
FBC	41	27.76	21.72	22.90	27.61	0.03	0.00
FBC	42	27.66	21.96	22.79	27.59	0.03	0.00
FBC	43	27.91	21.70	22.58	27.80	0.03	0.00
FBC	44	27.75	21.82	22.55	27.88	0.03	0.00
FBC	45	27.86	21.76	22.61	27.77	0.03	0.00
FBC	46	27.85	21.75	22.62	27.78	0.03	0.00
FBC	47	27.84	21.76	22.68	27.71	0.03	0.00
FBC	48	27.73	21.86	22.64	27.78	0.03	0.00
FBC	49	27.76	21.79	22.63	27.82	0.03	0.00
FBC	50	27.72	21.99	22.58	27.71	0.03	0.00
FBC	51	27.79	21.90	22.46	27.85	0.03	0.00
FBC	52	27.63	22.00	22.53	27.83	0.03	0.00
FBC	53	27.68	21.91	22.45	27.96	0.03	0.00
FBC	54	27.50	22.09	22.53	27.88	0.04	0.00
FBC	55	27.59	22.06	22.57	27.78	0.04	0.00
FBC	56	27.53	22.22	22.48	27.77	0.04	0.00
FBC	57	27.67	21.99	22.54	27.80	0.03	0.00
FBC	58	27.49	22.18	22.54	27.79	0.03	0.00
FBC	59	27.58	22.06	22.61	27.76	0.03	0.00
FBC	60	27.59	22.22	22.45	27.74	0.03	0.00
FBC	61	27.67	22.08	22.55	27.70	0.03	0.00
FBC	62	27.69	22.05	22.57	27.69	0.03	0.00
FBC	63	27.61	22.03	22.55	27.80	0.03	0.00
FBC	64	27.59	22.15	22.55	27.72	0.03	0.00
FBC	65	27.66	21.91	22.75	27.68	0.03	0.00
FBC	66	27.63	22.01	22.89	27.47	0.04	0.00
FBC	67	27.52	22.27	22.76	27.44	0.04	0.00
FBC	68	27.65	22.26	22.59	27.50	0.04	0.00
FBC	69	27.46	22.25	22.60	27.69	0.04	0.00
FBC	70	27.44	22.29	22.61	27.66	0.04	0.00
FBC	71	27.42	22.27	22.69	27.62	0.04	0.00
FBC	72	27.39	22.21	22.79	27.60	0.05	0.00
FBC	73	27.37	22.28	22.66	27.68	0.05	0.00
FBC	74	27.24	22.32	22.72	27.73	0.05	0.00
FBC	75	27.09	22.34	23.06	27.52	0.05	0.00
FBC	76	27.63	22.62	21.26	28.49	0.05	0.00
FBC	77	27.69	22.53	21.38	28.40	0.05	0.00
FBC	78	27.70	22.54	21.48	28.28	0.06	0.00
FBC	79	27.64	22.52	21.41	28.43	0.06	0.00
FBC	80	27.65	22.64	21.49	28.22	0.06	0.00
FBC	81	27.71	22.53	21.45	28.31	0.06	0.00
FBC	82	27.64	22.56	21.60	28.20	0.05	0.00
FBC	83	27.61	22.47	21.58	28.34	0.05	0.00
FBC	84	27.73	22.66	21.43	28.19	0.05	0.00
FBC	85	27.57	22.67	21.46	28.30	0.05	0.00
FBC	86	27.71	22.73	21.33	28.23	0.05	0.00
FBC	87	27.79	22.70	21.35	28.16	0.06	0.00
FBC	88	27.90	22.58	21.22	28.31	0.07	0.00
FBC	89	27.71	22.71	21.32	28.26	0.07	0.00
FBC	90	27.86	23.00	20.97	28.16	0.07	0.00
FBC	91	27.68	22.62	21.34	28.37	0.06	0.00
FBC	92	27.60	22.75	21.21	28.43	0.06	0.00
FBC	93	27.65	22.93	21.10	28.32	0.06	0.00
FBC	94	27.54	23.08	21.02	28.36	0.06	0.00
FBC	95	27.62	22.93	21.11	28.35	0.06	0.00
FBC	96	27.49	23.01	21.16	28.33	0.09	0.00
FBC	97	27.44	23.00	21.05	28.51	0.27	0.00
FBC	98	27.52	23.08	20.88	28.52	0.41	0.00
FBC	99	27.22	22.85	21.72	28.20	3.09	0.00
FBC	100	27.40	23.09	21.20	28.31	0.38	0.00
# ACGT raw counters for first fragments. Use `grep ^FTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
FTC	28466505	22313704	22257863	28556042	77486
# ACGT content per cycle for last fragments. Use `grep ^LBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
LBC	1	31.21	20.73	18.66	29.40	0.28	0.00
LBC	2	31.33	19.84	19.84	28.99	0.23	0.00
LBC	3	29.56	20.14	21.02	29.27	0.17	0.00
LBC	4	28.54	20.76	22.05	28.66	0.26	0.00
LBC	5	29.47	20.10	21.49	28.94	1.14	0.00
LBC	6	29.27	21.37	21.82	27.55	1.49	0.00
LBC	7	28.93	20.57	21.63	28.87	1.38	0.00
LBC	8	28.88	21.07	21.40	28.66	1.46	0.00
LBC	9	28.63	21.01	21.40	28.96	2.32	0.00
LBC	10	29.18	20.77	21.60	28.45	2.81	0.00
LBC	11	28.93	20.85	21.77	28.46	2.39	0.00
LBC	12	28.83	20.94	21.55	28.68	2.18	0.00
LBC	13	28.79	20.79	21.45	28.97	1.61	0.00
LBC	14	28.83	20.65	21.62	28.90	0.11	0.00
LBC	15	28.80	20.94	21.50	28.76	0.03	0.00
LBC	16	28.84	20.93	21.54	28.69	0.06	0.00
LBC	17	28.49	20.93	21.70	28.88	0.04	0.00
LBC	18	28.50	20.96	21.70	28.85	0.03	0.00
LBC	19	28.35	21.05	21.78	28.82	0.01	0.00
LBC	20	28.38	21.02	21.68	28.93	0.01	0.00
LBC	21	28.25	21.16	21.80	28.78	0.02	0.00
LBC	22	28.25	21.14	21.82	28.79	0.02	0.00
LBC	23	28.29	21.15	21.81	28.76	0.02	0.00
LBC	24	28.27	21.12	21.96	28.66	0.00	0.00
LBC	25	28.23	21.10	21.97	28.71	0.00	0.00
LBC	26	28.06	21.13	22.11	28.70	0.03	0.00
LBC	27	27.94	21.33	22.15	28.58	0.46	0.00
LBC	28	27.96	21.33	22.14	28.57	0.20	0.00
LBC	29	27.91	21.33	22.23	28.54	0.00	0.00
LBC	30	28.11	21.20	22.18	28.52	0.01	0.00
LBC	31	27.97	21.29	22.30	28.44	0.01	0.00
LBC	32	27.90	21.17	22.49	28.44	0.01	0.00
LBC	33	27.91	21.41	22.49	28.20	0.01	0.00
LBC	34	28.25	21.25	22.24	28.26	0.02	0.00
LBC	35	27.94	22.05	22.01	27.99	0.03	0.00
LBC	36	28.02	22.06	22.02	27.90	0.04	0.00
LBC	37	28.02	22.16	22.00	27.82	0.04	0.00
LBC	38	28.08	21.98	22.09	27.86	0.04	0.00
LBC	39	28.00	22.15	22.04	27.82	0.04	0.00
LBC	40	28.07	22.03	22.14	27.75	0.03	0.00
LBC	41	28.04	22.10	22.15	27.71	0.03	0.00
LBC	42	27.99	22.05	22.23	27.73	0.03	0.00
LBC	43	27.65	22.13	22.43	27.79	0.03	0.00
LBC	44	27.69	22.06	22.47	27.79	0.43	0.00
LBC	45	27.55	22.22	22.52	27.70	0.57	0.00
LBC	46	27.61	22.15	22.52	27.72	0.68	0.00
LBC	47	27.52	22.19	22.61	27.67	0.67	0.00
LBC	48	27.51	22.23	22.55	27.71	0.30	0.00
LBC	49	27.71	22.23	22.46	27.60	0.03	0.00
LBC	50	27.92	22.12	22.38	27.59	0.03	0.00
LBC	51	27.96	21.78	21.38	28.88	0.22	0.00
LBC	52	28.00	21.71	21.48	28.81	0.49	0.00
LBC	53	28.00	21.72	21.48	28.80	0.60	0.00
LBC	54	27.53	22.83	21.25	28.40	0.09	0.00
LBC	55	27.86	22.64	21.22	28.27	0.05	0.00
LBC	56	27.77	22.58	21.23	28.42	0.05	0.00
LBC	57	27.87	22.70	21.14	28.29	0.05	0.00
LBC	58	27.84	22.70	21.04	28.41	0.05	0.00
LBC	59	27.82	22.76	21.13	28.28	0.06	0.00
LBC	60	27.76	22.73	21.27	28.24	0.07	0.00
LBC	61	27.84	22.78	21.18	28.20	0.06	0.00
LBC	62	27.98	21.99	21.36	28.68	0.06	0.00
LBC	63	27.85	21.80	21.56	28.79	0.05	0.00
LBC	64	28.02	21.72	21.63	28.63	0.04	0.00
LBC	65	28.00	21.76	21.68	28.56	0.04	0.00
LBC	66	27.92	21.95	21.70	28.44	0.08	0.00
LBC	67	27.84	22.01	21.63	28.52	0.13	0.00
LBC	68	27.87	22.00	21.38	28.75	0.09	0.00
LBC	69	27.91	21.99	21.40	28.71	0.05	0.00
LBC	70	27.96	21.88	21.32	28.85	0.05	0.00
LBC	71	27.89	21.92	21.36	28.82	0.05	0.00
LBC	72	27.89	21.99	21.36	28.76	0.04	0.00
LBC	73	27.99	21.88	21.43	28.70	0.05	0.00
LBC	74	27.95	21.92	21.47	28.66	0.05	0.00
LBC	75	27.95	22.02	21.44	28.59	0.06	0.00
LBC	76	27.97	21.85	21.47	28.71	0.06	0.00
LBC	77	27.80	21.90	21.48	28.82	0.06	0.00
LBC	78	27.76	21.83	21.61	28.80	0.05	0.00
LBC	79	27.95	21.95	21.49	28.61	0.05	0.00
LBC	80	28.01	21.93	21.51	28.55	0.06	0.00
LBC	81	27.93	21.89	21.54	28.64	0.07	0.00
LBC	82	27.87	21.78	21.72	28.63	0.07	0.00
LBC	83	27.84	21.93	21.67	28.57	0.06	0.00
LBC	84	27.79	21.90	21.79	28.52	0.06	0.00
LBC	85	27.82	22.11	21.64	28.43	0.07	0.00
LBC	86	27.75	22.05	21.76	28.44	0.07	0.00
LBC	87	27.72	22.12	21.74	28.42	0.07	0.00
LBC	88	27.51	22.05	21.81	28.63	0.07	0.00
LBC	89	27.46	22.27	21.66	28.61	0.06	0.00
LBC	90	27.64	22.33	21.54	28.49	0.06	0.00
LBC	91	27.54	22.36	21.52	28.57	0.06	0.00
LBC	92	27.53	22.34	21.62	28.51	0.06	0.00
LBC	93	27.51	22.35	21.70	28.43	0.07	0.00
LBC	94	27.42	22.37	21.73	28.49	0.08	0.00
LBC	95	27.41	22.20	21.83	28.56	0.07	0.00
LBC	96	27.42	22.34	21.77	28.48	0.06	0.00
LBC	97	27.25	22.43	21.63	28.70	0.06	0.00
LBC	98	27.37	22.30	21.59	28.73	0.06	0.00
LBC	99	27.44	22.26	21.70	28.60	0.06	0.00
LBC	100	27.39	22.33	21.74	28.54	0.06	0.00
# ACGT raw counters for last fragments. Use `grep ^LTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
LTC	28481444	22041634	21998936	28888834	260752
# Insert sizes. Use `grep ^IS | cut -f 2-` to extract this part. The columns are: insert size, pairs total, inward oriented pairs, outward oriented pairs, other pairs
IS	0	0	0	0	0
IS	1	0	0	0	0
IS	2	0	0	0	0
IS	3	0	0	0	0
IS	4	0	0	0	0
IS	5	0	0	0	0
IS	6	0	0	0	0
IS	7	0	0	0	0
IS	8	2	0	2	0
IS	9	2	0	2	0
IS	10	0	0	0	0
IS	11	0	0	0	0
IS	12	0	0	0	0
IS	13	0	0	0	0
IS	14	0	0	0	0
IS	15	0	0	0	0
IS	16	0	0	0	0
IS	17	0	0	0	0
IS	18	0	0	0	0
IS	19	0	0	0	0
IS	20	0	0	0	0
IS	21	0	0	0	0
IS	22	0	0	0	0
IS	23	1	0	1	0
IS	24	1	0	1	0
IS	25	0	0	0	0
IS	26	0	0	0	0
IS	27	0	0	0	0
IS	28	0	0	0	0
IS	29	0	0	0	0
IS	30	0	0	0	0
IS	31	0	0	0	0
IS	32	0	0	0	0
IS	33	0	0	0	0
IS	34	0	0	0	0
IS	35	0	0	0	0
IS	36	2	0	2	0
IS	37	0	0	0	0
IS	38	0	0	0	0
IS	39	0	0	0	0
IS	40	0	0	0	0
IS	41	0	0	0	0
IS	42	1	0	1	0
IS	43	0	0	0	0
IS	44	0	0	0	0
IS	45	3	1	2	0
IS	46	0	0	0	0
IS	47	0	0	0	0
IS	48	0	0	0	0
IS	49	0	0	0	0
IS	50	0	0	0	0
IS	51	0	0	0	0
IS	52	0	0	0	0
IS	53	0	0	0	0
IS	54	0	0	0	0
IS	55	0	0	0	0
IS	56	1	1	0	0
IS	57	0	0	0	0
IS	58	0	0	0	0
IS	59	0	0	0	0
IS	60	0	0	0	0
IS	61	0	0	0	0
IS	62	2	2	0	0
IS	63	0	0	0	0
IS	64	1	1	0	0
IS	65	0	0	0	0
IS	66	0	0	0	0
IS	67	0	0	0	0
IS	68	0	0	0	0
IS	69	0	0	0	0
IS	70	0	0	0	0
IS	71	0	0	0	0
IS	72	0	0	0	0
IS	73	0	0	0	0
IS	74	1	1	0	0
IS	75	0	0	0	0
IS	76	0	0	0	0
IS	77	1	1	0	0
IS	78	1	1	0	0
IS	79	1	0	1	0
IS	80	0	0	0	0
IS	81	0	0	0	0
IS	82	0	0	0	0
IS	83	0	0	0	0
IS	84	0	0	0	0
IS	85	0	0	0	0
IS	86	0	0	0	0
IS	87	0	0	0	0
IS	88	0	0	0	0
IS	89	0	0	0	0
IS	90	0	0	0	0
IS	91	0	0	0	0
IS	92	1	1	0	0
IS	93	0	0	0	0
IS	94	0	0	0	0
IS	95	0	0	0	0
IS	96	1	1	0	0
IS	97	0	0	0	0
IS	98	0	0	0	0
IS	99	0	0	0	0
IS	100	1	1	0	0
IS	101	0	0	0	0
IS	102	0	0	0	0
IS	103	0	0	0	0
IS	104	0	0	0	0
IS	105	0	0	0	0
IS	106	0	0	0	0
IS	107	0	0	0	0
IS	108	0	0	0	0
IS	109	0	0	0	0
IS	110	0	0	0	0
IS	111	0	0	0	0
IS	112	1	1	0	0
IS	113	0	0	0	0
IS	114	0	0	0	0
IS	115	5	5	0	0
IS	116	5	5	0	0
IS	117	2	2	0	0
IS	118	4	4	0	0
IS	119	7	7	0	0
IS	120	8	8	0	0
IS	121	4	4	0	0
IS	122	2	2	0	0
IS	123	5	5	0	0
IS	124	5	5	0	0
IS	125	7	7	0	0
IS	126	1	1	0	0
IS	127	5	5	0	0
IS	128	5	5	0	0
IS	129	6	6	0	0
IS	130	1	1	0	0
IS	131	1	1	0	0
IS	132	4	4	0	0
IS	133	5	5	0	0
IS	134	0	0	0	0
IS	135	6	6	0	0
IS	136	5	5	0	0
IS	137	4	4	0	0
IS	138	2	2	0	0
IS	139	6	6	0	0
IS	140	9	9	0	0
IS	141	6	6	0	0
IS	142	6	6	0	0
IS	143	3	3	0	0
IS	144	1	1	0	0
IS	145	4	4	0	0
IS	146	2	2	0	0
IS	147	4	4	0	0
IS	148	8	8	0	0
IS	149	5	5	0	0
IS	150	3	3	0	0
IS	151	6	6	0	0
IS	152	2	2	0	0
IS	153	12	12	0	0
IS	154	7	7	0	0
IS	155	5	5	0	0
IS	156	7	7	0	0
IS	157	6	6	0	0
IS	158	10	10	0	0
IS	159	2	2	0	0
IS	160	9	9	0	0
IS	161	12	12	0	0
IS	162	12	12	0	0
IS	163	13	13	0	0
IS	164	6	6	0	0
IS	165	10	10	0	0
IS	166	13	13	0	0
IS	167	14	14	0	0
IS	168	5	5	0	0
IS	169	15	15	0	0
IS	170	10	10	0	0
IS	171	17	17	0	0
IS	172	7	7	0	0
IS	173	6	6	0	0
IS	174	19	19	0	0
IS	175	13	13	0	0
IS	176	11	11	0	0
IS	177	10	10	0	0
IS	178	21	21	0	0
IS	179	12	12	0	0
IS	180	13	13	0	0
IS	181	12	12	0	0
IS	182	16	16	0	0
IS	183	19	19	0	0
IS	184	27	27	0	0
IS	185	14	14	0	0
IS	186	20	20	0	0
IS	187	19	19	0	0
IS	188	16	16	0	0
IS	189	26	26	0	0
IS	190	12	12	0	0
IS	191	21	21	0	0
IS	192	18	18	0	0
IS	193	15	15	0	0
IS	194	24	24	0	0
IS	195	25	25	0	0
IS	196	19	19	0	0
IS	197	17	17	0	0
IS	198	20	20	0	0
IS	199	21	21	0	0
IS	200	21	21	0	0
IS	201	20	20	0	0
IS	202	30	30	0	0
IS	203	22	22	0	0
IS	204	28	28	0	0
IS	205	21	21	0	0
IS	206	22	22	0	0
IS	207	16	16	0	0
IS	208	12	12	0	0
IS	209	24	24	0	0
IS	210	13	13	0	0
IS	211	26	26	0	0
IS	212	26	26	0	0
IS	213	27	27	0	0
IS	214	20	20	0	0
IS	215	16	16	0	0
IS	216	24	24	0	0
IS	217	22	22	0	0
IS	218	30	30	0	0
IS	219	21	21	0	0
IS	220	27	27	0	0
IS	221	26	26	0	0
IS	222	27	27	0	0
IS	223	26	26	0	0
IS	224	29	29	0	0
IS	225	27	27	0	0
IS	226	29	29	0	0
IS	227	30	30	0	0
IS	228	38	38	0	0
IS	229	18	18	0	0
IS	230	27	27	0	0
IS	231	27	27	0	0
IS	232	32	32	0	0
IS	233	32	32	0	0
IS	234	43	43	0	0
IS	235	39	39	0	0
IS	236	55	55	0	0
IS	237	46	46	0	0
IS	238	44	44	0	0
IS	239	45	45	0	0
IS	240	47	47	0	0
IS	241	53	53	0	0
IS	242	45	45	0	0
IS	243	57	57	0	0
IS	244	41	41	0	0
IS	245	55	55	0	0
IS	246	56	56	0	0
IS	247	69	69	0	0
IS	248	66	66	0	0
IS	249	79	79	0	0
IS	250	60	60	0	0
IS	251	78	78	0	0
IS	252	98	98	0	0
IS	253	86	86	0	0
IS	254	99	99	0	0
IS	255	92	92	0	0
IS	256	79	79	0	0
IS	257	91	91	0	0
IS	258	94	94	0	0
IS	259	130	130	0	0
IS	260	105	105	0	0
IS	261	110	110	0	0
IS	262	136	136	0	0
IS	263	122	122	0	0
IS	264	149	149	0	0
IS	265	120	120	0	0
IS	266	142	142	0	0
IS	267	176	176	0	0
IS	268	158	158	0	0
IS	269	193	193	0	0
IS	270	171	171	0	0
IS	271	161	161	0	0
IS	272	194	194	0	0
IS	273	196	196	0	0
IS	274	177	177	0	0
IS	275	185	185	0	0
IS	276	197	197	0	0
IS	277	185	185	0	0
IS	278	201	201	0	0
IS	279	223	223	0	0
IS	280	203	203	0	0
IS	281	188	188	0	0
IS	282	214	214	0	0
IS	283	193	193	0	0
IS	284	244	244	0	0
IS	285	241	241	0	0
IS	286	232	232	0	0
IS	287	222	222	0	0
IS	288	243	243	0	0
IS	289	274	274	0	0
IS	290	270	270	0	0
IS	291	237	237	0	0
IS	292	244	244	0	0
IS	293	263	263	0	0
IS	294	262	262	0	0
IS	295	252	251	1	0
IS	296	311	311	0	0
IS	297	278	278	0	0
IS	298	286	286	0	0
IS	299	275	275	0	0
IS	300	300	300	0	0
IS	301	349	349	0	0
IS	302	315	315	0	0
IS	303	328	328	0	0
IS	304	321	321	0	0
IS	305	332	332	0	0
IS	306	382	382	0	0
IS	307	375	375	0	0
IS	308	387	387	0	0
IS	309	426	426	0	0
IS	310	402	402	0	0
IS	311	417	417	0	0
IS	312	434	434	0	0
IS	313	417	417	0	0
IS	314	467	467	0	0
IS	315	518	518	0	0
IS	316	484	484	0	0
IS	317	518	518	0	0
IS	318	510	510	0	0
IS	319	535	535	0	0
IS	320	518	518	0	0
IS	321	570	570	0	0
IS	322	560	560	0	0
IS	323	574	574	0	0
IS	324	577	577	0	0
IS	325	638	638	0	0
IS	326	0	0	0	0
